vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
    366          31     0.0%    98.4%
    365          47     0.0%    98.4%
    364          37     0.0%    98.4%
    363          27     0.0%    98.4%
    362          33     0.0%    98.4%
    361          28     0.0%    98.4%
    360          28     0.0%    98.4%
    359          24     0.0%    98.4%
    358          41     0.0%    98.4%
    357          44     0.0%    98.4%
    356          59     0.0%    98.4%
    355          55     0.0%    98.4%
    354          59     0.0%    98.4%
    353          56     0.0%    98.4%
    352          55     0.0%    98.4%
    351          98     0.0%    98.4%
    350          92     0.0%    98.4%
    349         127     0.0%    98.4%
    348         127     0.0%    98.4%
    347         177     0.0%    98.4%
    346         245     0.0%    98.4%
    345         153     0.0%    98.4%
    344         120     0.0%    98.4%
    343         167     0.0%    98.4%
    342         176     0.0%    98.4%
    341         165     0.0%    98.4%
    340         129     0.0%    98.4%
    339         125     0.0%    98.4%
    338         151     0.0%    98.4%
    337          58     0.0%    98.4%
    336          45     0.0%    98.4%
    335          78     0.0%    98.4%
    334          50     0.0%    98.4%
    333          70     0.0%    98.4%
    332          51     0.0%    98.4%
    331          72     0.0%    98.4%
    330          71     0.0%    98.4%
    329          71     0.0%    98.4%
    328          97     0.0%    98.4%
    327          91     0.0%    98.4%
    326         106     0.0%    98.4%
    325         107     0.0%    98.4%
    324         133     0.0%    98.4%
    323        1081     0.0%    98.4%
    322         873     0.0%    98.4%
    321         839     0.0%    98.4%
    320         861     0.0%    98.4%
    319         918     0.0%    98.4%
    318         737     0.0%    98.4%
    317         167     0.0%    98.4%
    316          79     0.0%    98.4%
    315         136     0.0%    98.4%
    314         205     0.0%    98.4%
    313         291     0.0%    98.4%
    312         293     0.0%    98.4%
    311         341     0.0%    98.4%
    310         413     0.0%    98.4%
    309         434     0.0%    98.4%
    308         316     0.0%    98.4%
    307         302     0.0%    98.4%
    306         248     0.0%    98.4%
    305         181     0.0%    98.4%
    304         133     0.0%    98.4%
    303          94     0.0%    98.4%
    302         108     0.0%    98.4%
    301         111     0.0%    98.4%
    300         126     0.0%    98.4%
    299         152     0.0%    98.4%
    298         167     0.0%    98.4%
    297         206     0.0%    98.4%
    296         289     0.0%    98.4%
    295        1053     0.0%    98.4%
    294        9428     0.0%    98.4%
