vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
  130    99.4%  39.4  0.00012  0.000763   0.16   0.001213    0.121%
  131    99.4%  39.4  0.00011  0.000710   0.16   0.001210    0.121%
  132    99.4%  39.5  0.00011  0.000685   0.16   0.001206    0.121%
  133    99.4%  39.5  0.00011  0.000803   0.16   0.001203    0.120%
  134    99.4%  39.6  0.00011  0.000767   0.16   0.001199    0.120%
  135    99.4%  39.6  0.00011  0.000782   0.16   0.001196    0.120%
  136    99.4%  39.7  0.00011  0.000791   0.16   0.001193    0.119%
  137    99.4%  39.8  0.00010  0.000761   0.16   0.001190    0.119%
  138    99.4%  39.9  0.00010  0.000653   0.16   0.001186    0.119%
  139    99.4%  40.0  0.00010  0.000596   0.16   0.001182    0.118%
  140    99.4%  40.1  0.00010  0.000495   0.16   0.001177    0.118%
  141    99.4%  40.1  0.00010  0.000530   0.17   0.001173    0.117%
  142    99.4%  40.1  0.00010  0.000524   0.17   0.001168    0.117%
  143    99.4%  40.2  0.00010  0.000454   0.17   0.001163    0.116%
  144    99.4%  40.1  0.00010  0.000471   0.17   0.001158    0.116%
  145    99.4%  40.0  0.00010  0.000598   0.17   0.001154    0.115%
  146    99.4%  40.0  0.00010  0.000597   0.17   0.001151    0.115%
  147    99.4%  40.0  0.00010  0.000540   0.17   0.001146    0.115%
  148    99.4%  40.0  0.00010  0.000599   0.17   0.001143    0.114%
  149    99.4%  40.1  0.00010  0.000932   0.17   0.001141    0.114%
  150    99.4%  40.2  0.00010  0.000522   0.17   0.001137    0.114%
  151    99.3%  40.2  0.00010  0.000601   0.17   0.001134    0.113%
  152    99.3%  39.9  0.00010  0.000834   0.17   0.001132    0.113%
  153    99.3%  40.0  0.00010  0.000753   0.17   0.001130    0.113%
  154    99.3%  40.2  0.00009  0.000570   0.17   0.001126    0.113%
  155    99.3%  40.4  0.00009  0.000564   0.17   0.001122    0.112%
  156    99.3%  40.4  0.00009  0.000750   0.17   0.001120    0.112%
  157    99.3%  40.4  0.00009  0.000651   0.18   0.001117    0.112%
  158    99.3%  40.5  0.00009  0.000668   0.18   0.001114    0.111%
  159    99.3%  40.6  0.00009  0.000644   0.18   0.001111    0.111%
  160    99.3%  40.7  0.00008  0.000481   0.18   0.001107    0.111%
  161    99.3%  40.8  0.00008  0.000542   0.18   0.001104    0.110%
  162    99.3%  40.8  0.00008  0.000499   0.18   0.001100    0.110%
  163    99.3%  40.8  0.00008  0.000515   0.18   0.001096    0.110%
  164    99.3%  40.8  0.00008  0.000461   0.18   0.001093    0.109%
  165    99.3%  40.9  0.00008  0.000380   0.18   0.001088    0.109%
  166    99.3%  40.8  0.00008  0.000492   0.18   0.001085    0.108%
  167    99.3%  40.9  0.00008  0.000389   0.18   0.001080    0.108%
  168    99.3%  40.8  0.00008  0.000442   0.18   0.001077    0.108%
  169    99.3%  40.8  0.00008  0.000569   0.18   0.001074    0.107%
  170    99.3%  40.8  0.00008  0.000420   0.18   0.001070    0.107%
  171    99.3%  40.8  0.00008  0.000469   0.18   0.001066    0.107%
  172    99.3%  40.8  0.00008  0.000522   0.18   0.001063    0.106%
  173    99.3%  40.7  0.00008  0.000634   0.18   0.001061    0.106%
  174    99.3%  40.8  0.00008  0.000611   0.18   0.001058    0.106%
  175    99.3%  40.8  0.00008  0.000595   0.18   0.001056    0.106%
  176    99.3%  40.8  0.00008  0.000564   0.19   0.001053    0.105%
  177    99.2%  40.8  0.00008  0.000534   0.19   0.001050    0.105%
  178    99.2%  40.8  0.00008  0.000518   0.19   0.001047    0.105%
  179    99.2%  40.8  0.00008  0.000454   0.19   0.001044    0.104%
  180    99.1%  40.8  0.00008  0.000669   0.19   0.001042    0.104%
  181    99.1%  40.7  0.00008  0.000695   0.19   0.001040    0.104%
  182    99.1%  40.8  0.00008  0.000539   0.19   0.001038    0.104%
  183    99.1%  40.8  0.00008  0.000490   0.19   0.001035    0.103%
  184    99.1%  40.8  0.00008  0.000506   0.19   0.001032    0.103%
  185    99.1%  40.8  0.00008  0.000541   0.19   0.001029    0.103%
  186    99.1%  40.8  0.00008  0.000446   0.19   0.001026    0.103%
  187    99.1%  40.8  0.00008  0.000588   0.19   0.001024    0.102%
  188    99.1%  40.8  0.00008  0.000380   0.19   0.001020    0.102%
  189    99.1%  40.8  0.00008  0.000471   0.19   0.001018    0.102%
  190    99.1%  40.8  0.00008  0.000428   0.19   0.001014    0.101%
  191    99.1%  40.8  0.00008  0.000403   0.19   0.001011    0.101%
  192    99.1%  40.9  0.00008  0.000364   0.19   0.001008    0.101%
  193    99.1%  40.9  0.00008  0.000387   0.19   0.001005    0.100%
  194    99.1%  40.8  0.00008  0.000458   0.19   0.001002    0.100%
  195    99.1%  40.9  0.00008  0.000388   0.19   0.000999    0.100%
  196    99.1%  40.9  0.00008  0.000390   0.20   0.000996    0.100%
  197    99.1%  40.8  0.00008  0.000482   0.20   0.000993    0.099%
  198    99.1%  40.9  0.00008  0.000367   0.20   0.000990    0.099%
  199    99.1%  40.9  0.00008  0.000390   0.20   0.000987    0.099%
  200    99.1%  40.8  0.00008  0.000419   0.20   0.000984    0.098%
  201    99.1%  40.9  0.00008  0.000372   0.20   0.000981    0.098%
  202    99.1%  40.8  0.00008  0.000443   0.20   0.000978    0.098%
  203    99.1%  40.9  0.00008  0.000410   0.20   0.000975    0.098%
  204    99.1%  40.9  0.00008  0.000358   0.20   0.000972    0.097%
  205    99.1%  40.8  0.00008  0.000421   0.20   0.000970    0.097%
  206    99.1%  40.8  0.00008  0.000429   0.20   0.000967    0.097%
  207    99.1%  40.8  0.00008  0.000430   0.20   0.000965    0.096%
  208    99.1%  40.9  0.00008  0.000372   0.20   0.000962    0.096%
  209    99.1%  40.9  0.00008  0.000396   0.20   0.000959    0.096%
  210    99.1%  40.8  0.00008  0.000530   0.20   0.000957    0.096%
  211    99.1%  40.8  0.00008  0.000431   0.20   0.000954    0.095%
  212    99.1%  40.9  0.00008  0.000347   0.20   0.000952    0.095%
  213    99.1%  40.8  0.00008  0.000442   0.20   0.000949    0.095%
  214    99.1%  40.9  0.00008  0.000415   0.20   0.000947    0.095%
  215    99.1%  40.8  0.00008  0.000467   0.20   0.000944    0.094%
  216    99.1%  40.8  0.00008  0.000484   0.20   0.000942    0.094%
  217    99.1%  40.9  0.00008  0.000395   0.20   0.000940    0.094%
  218    99.1%  40.9  0.00008  0.000422   0.20   0.000937    0.094%
  219    99.1%  40.8  0.00008  0.000549   0.20   0.000936    0.094%
  220    99.1%  40.9  0.00008  0.000409   0.21   0.000933    0.093%
  221    99.1%  40.9  0.00008  0.000328   0.21   0.000931    0.093%
  222    99.1%  40.8  0.00008  0.000429   0.21   0.000928    0.093%
  223    99.1%  40.9  0.00008  0.000351   0.21   0.000926    0.093%
  224    99.1%  40.9  0.00008  0.000341   0.21   0.000923    0.092%
  225    99.1%  40.9  0.00008  0.000386   0.21   0.000921    0.092%
  226    99.1%  40.9  0.00008  0.000352   0.21   0.000918    0.092%
  227    99.1%  40.9  0.00008  0.000394   0.21   0.000916    0.092%
  228    99.1%  40.9  0.00008  0.000409   0.21   0.000914    0.091%
  229    99.1%  40.9  0.00008  0.000351   0.21   0.000911    0.091%
  230    99.1%  40.9  0.00008  0.000384   0.21   0.000909    0.091%
  231    99.1%  40.8  0.00008  0.000447   0.21   0.000907    0.091%
  232    99.1%  40.8  0.00008  0.000547   0.21   0.000905    0.091%
  233    99.1%  40.8  0.00008  0.000491   0.21   0.000904    0.090%
  234    99.1%  40.8  0.00008  0.000593   0.21   0.000902    0.090%
  235    99.1%  40.8  0.00008  0.000438   0.21   0.000900    0.090%
  236    99.1%  40.8  0.00008  0.000487   0.21   0.000899    0.090%
  237    99.1%  40.9  0.00008  0.000423   0.21   0.000897    0.090%
  238    99.1%  40.9  0.00008  0.000440   0.21   0.000895    0.089%
  239    99.1%  40.8  0.00008  0.000508   0.21   0.000893    0.089%
  240    99.1%  40.8  0.00008  0.000482   0.21   0.000891    0.089%
  241    99.1%  40.8  0.00008  0.000482   0.21   0.000890    0.089%
  242    99.1%  40.8  0.00008  0.000590   0.21   0.000888    0.089%
  243    99.1%  40.8  0.00008  0.000527   0.22   0.000887    0.089%
  244    99.1%  40.8  0.00008  0.000494   0.22   0.000885    0.089%
  245    99.1%  40.8  0.00008  0.000552   0.22   0.000884    0.088%
  246    99.1%  40.8  0.00008  0.000492   0.22   0.000882    0.088%
  247    99.1%  40.8  0.00008  0.000414   0.22   0.000880    0.088%
  248    99.1%  40.9  0.00008  0.000406   0.22   0.000878    0.088%
  249    99.1%  40.8  0.00008  0.000469   0.22   0.000877    0.088%
  250    99.1%  40.9  0.00008  0.000448   0.22   0.000875    0.088%
  251    99.1%  40.9  0.00008  0.000506   0.22   0.000874    0.087%
  252    99.1%  40.8  0.00008  0.000470   0.22   0.000872    0.087%
  253    99.1%  40.9  0.00008  0.000465   0.22   0.000870    0.087%
  254    99.1%  40.9  0.00008  0.000420   0.22   0.000869    0.087%
  255    99.1%  40.9  0.00008  0.000427   0.22   0.000867    0.087%
  256    99.1%  40.8  0.00008  0.000538   0.22   0.000866    0.087%
  257    99.1%  40.8  0.00008  0.000593   0.22   0.000865    0.086%
  258    99.1%  40.8  0.00008  0.000491   0.22   0.000863    0.086%
  259    99.1%  40.8  0.00008  0.000497   0.22   0.000862    0.086%
  260    99.1%  40.9  0.00008  0.000400   0.22   0.000860    0.086%
  261    99.1%  40.9  0.00008  0.000345   0.22   0.000858    0.086%
  262    99.1%  40.9  0.00008  0.000356   0.22   0.000856    0.086%
  263    99.1%  40.9  0.00008  0.000440   0.22   0.000854    0.085%
  264    99.0%  40.9  0.00008  0.000454   0.23   0.000853    0.085%
  265    99.0%  40.8  0.00008  0.000536   0.23   0.000852    0.085%
  266    99.0%  40.8  0.00008  0.000640   0.23   0.000851    0.085%
  267    99.0%  40.8  0.00008  0.000518   0.23   0.000850    0.085%
  268    99.0%  40.7  0.00008  0.000610   0.23   0.000849    0.085%
  269    99.0%  40.5  0.00009  0.000726   0.23   0.000848    0.085%
  270    99.0%  40.1  0.00010  0.000939   0.23   0.000849    0.085%
  271    99.0%  39.8  0.00011  0.001097   0.23   0.000850    0.085%
  272    99.0%  39.5  0.00011  0.001199   0.23   0.000851    0.085%
  273    99.0%  38.9  0.00013  0.001638   0.23   0.000854    0.085%
  274    99.0%  38.6  0.00014  0.001804   0.23   0.000857    0.086%
  275    99.0%  37.8  0.00016  0.002414   0.24   0.000863    0.086%
  276    99.0%  37.9  0.00016  0.002288   0.24   0.000868    0.087%
  277    99.0%  38.2  0.00015  0.002055   0.24   0.000873    0.087%
  278    99.0%  38.1  0.00015  0.002136   0.24   0.000877    0.088%
  279    99.0%  37.8  0.00017  0.002499   0.25   0.000883    0.088%
  280    99.0%  37.1  0.00020  0.003401   0.25   0.000892    0.089%
  281    99.0%  37.9  0.00016  0.002414   0.25   0.000898    0.090%
  282    99.0%  37.8  0.00017  0.002424   0.25   0.000903    0.090%
  283    99.0%  38.3  0.00015  0.001925   0.26   0.000907    0.091%
  284    99.0%  37.8  0.00017  0.002425   0.26   0.000912    0.091%
  285    99.0%  38.1  0.00016  0.002073   0.26   0.000916    0.092%
  286    99.0%  38.2  0.00015  0.002046   0.26   0.000920    0.092%
  287    98.9%  37.9  0.00016  0.002195   0.27   0.000924    0.092%
  288    98.9%  37.9  0.00016  0.002407   0.27   0.000930    0.093%
  289    98.9%  37.7  0.00017  0.002573   0.27   0.000935    0.094%
  290    98.8%  37.5  0.00018  0.002784   0.27   0.000942    0.094%
  291    98.7%  38.1  0.00016  0.002115   0.28   0.000946    0.095%
  292    98.6%  37.9  0.00016  0.002207   0.28   0.000951    0.095%
  293    98.5%  38.4  0.00014  0.001750   0.28   0.000954    0.095%
  294    98.4%  38.5  0.00014  0.001539   0.28   0.000956    0.096%
  295    98.4%  38.4  0.00014  0.001739   0.28   0.000959    0.096%
  296    98.4%  38.2  0.00015  0.001937   0.28   0.000962    0.096%
  297    98.4%  38.3  0.00015  0.001938   0.29   0.000966    0.097%
  298    98.4%  38.3  0.00015  0.001970   0.29   0.000969    0.097%
  299    98.4%  38.1  0.00016  0.002241   0.29   0.000973    0.097%
  300    98.4%  38.2  0.00015  0.001963   0.29   0.000977    0.098%
  301    98.4%  38.2  0.00015  0.001936   0.29   0.000980    0.098%
  302    98.4%  38.0  0.00016  0.002218   0.30   0.000984    0.098%
  303    98.4%  37.9  0.00016  0.002248   0.30   0.000988    0.099%
  304    98.4%  37.5  0.00018  0.002801   0.30   0.000994    0.099%
  305    98.4%  38.0  0.00016  0.002255   0.30   0.000998    0.100%
  306    98.4%  37.3  0.00018  0.002962   0.31   0.001005    0.100%
  307    98.4%  38.2  0.00015  0.001992   0.31   0.001008    0.101%
  308    98.4%  38.1  0.00015  0.002064   0.31   0.001011    0.101%
  309    98.4%  37.5  0.00018  0.002761   0.31   0.001017    0.102%
  310    98.4%  38.1  0.00016  0.002027   0.32   0.001020    0.102%
  311    98.4%  37.9  0.00016  0.002217   0.32   0.001024    0.102%
  312    98.4%  38.5  0.00014  0.001527   0.32   0.001026    0.103%
  313    98.4%  38.5  0.00014  0.001603   0.32   0.001027    0.103%
  314    98.4%  38.2  0.00015  0.001950   0.32   0.001030    0.103%
  315    98.4%  38.4  0.00014  0.001693   0.33   0.001032    0.103%
  316    98.4%  38.4  0.00015  0.001702   0.33   0.001035    0.103%
  317    98.4%  38.8  0.00013  0.001266   0.33   0.001035    0.104%
  318    98.4%  38.6  0.00014  0.001425   0.33   0.001037    0.104%
  319    98.4%  38.8  0.00013  0.001287   0.33   0.001037    0.104%
  320    98.4%  38.6  0.00014  0.001395   0.33   0.001038    0.104%
  321    98.4%  38.4  0.00015  0.001771   0.33   0.001041    0.104%
  322    98.4%  38.8  0.00013  0.001204   0.34   0.001041    0.104%
  323    98.4%  38.6  0.00014  0.001455   0.34   0.001042    0.104%
  324    98.4%  38.8  0.00013  0.001229   0.34   0.001043    0.104%
  325    98.4%  38.5  0.00014  0.001544   0.34   0.001045    0.104%
  326    98.4%  38.2  0.00015  0.001863   0.34   0.001047    0.105%
  327    98.4%  38.3  0.00015  0.001805   0.34   0.001049    0.105%
  328    98.4%  37.7  0.00017  0.002760   0.35   0.001055    0.105%
  329    98.4%  36.9  0.00020  0.003890   0.35   0.001063    0.106%
  330    98.4%  37.7  0.00017  0.002956   0.35   0.001069    0.107%
  331    98.4%  37.8  0.00017  0.002752   0.36   0.001074    0.107%
  332    98.4%  37.7  0.00017  0.002789   0.36   0.001079    0.108%
  333    98.4%  38.0  0.00016  0.002374   0.36   0.001083    0.108%
  334    98.4%  37.4  0.00018  0.003020   0.36   0.001089    0.109%
  335    98.4%  38.3  0.00015  0.001824   0.37   0.001091    0.109%
  336    98.4%  38.3  0.00015  0.001916   0.37   0.001094    0.109%
  337    98.4%  38.7  0.00014  0.001412   0.37   0.001095    0.109%
  338    98.4%  38.7  0.00014  0.001498   0.37   0.001096    0.110%
  339    98.4%  38.8  0.00013  0.001564   0.37   0.001097    0.110%
  340    98.4%  38.6  0.00014  0.002119   0.37   0.001100    0.110%
  341    98.4%  38.3  0.00015  0.007092   0.38   0.001118    0.112%
  342    98.4%  38.3  0.00015  0.008225   0.39   0.001138    0.114%
  343    98.4%  37.9  0.00016  0.011543   0.40   0.001169    0.117%
  344    98.4%  38.0  0.00016  0.010932   0.41   0.001197    0.120%
  345    98.4%  37.9  0.00016  0.011307   0.42   0.001227    0.123%
  346    98.4%  36.6  0.00022  0.013499   0.44   0.001262    0.126%
  347    98.4%  38.2  0.00015  0.007086   0.44   0.001279    0.128%
  348    98.4%  37.7  0.00017  0.006916   0.45   0.001295    0.129%
  349    98.4%  38.0  0.00016  0.003848   0.45   0.001302    0.130%
  350    98.4%  38.2  0.00015  0.003365   0.46   0.001308    0.131%
  351    98.4%  37.7  0.00017  0.003852   0.46   0.001315    0.132%
  352    98.4%  37.7  0.00017  0.003041   0.46   0.001320    0.132%
  353    98.4%  36.8  0.00021  0.004582   0.47   0.001330    0.133%
  354    98.4%  36.4  0.00023  0.004906   0.47   0.001340    0.134%
  355    98.4%  37.6  0.00017  0.003377   0.48   0.001345    0.135%
  356    98.4%  37.0  0.00020  0.004435   0.48   0.001354    0.135%
  357    98.4%  37.6  0.00017  0.003457   0.49   0.001360    0.136%
  358    98.4%  38.3  0.00015  0.002863   0.49   0.001364    0.136%
  359    98.4%  38.4  0.00014  0.002795   0.49   0.001368    0.137%
  360    98.4%  38.5  0.00014  0.003164   0.49   0.001373    0.137%
  361    98.4%  38.7  0.00014  0.003946   0.50   0.001380    0.138%
  362    98.4%  38.6  0.00014  0.004244   0.50   0.001388    0.139%
  363    98.4%  38.7  0.00014  0.004378   0.51   0.001396    0.140%
  364    98.4%  38.5  0.00014  0.004337   0.51   0.001405    0.140%
  365    98.4%  38.1  0.00015  0.006804   0.52   0.001419    0.142%
  366    98.4%  38.1  0.00016  0.011380   0.53   0.001447    0.145%
  367    98.4%  38.2  0.00015  0.011908   0.54   0.001475    0.148%
  368    98.4%  38.1  0.00016  0.012116   0.55   0.001504    0.150%
  369    98.4%  38.3  0.00015  0.010847   0.56   0.001529    0.153%
  370    98.4%  38.2  0.00015  0.010346   0.57   0.001553    0.155%
  371    98.4%  38.5  0.00014  0.007986   0.58   0.001570    0.157%
  372    98.4%  38.5  0.00014  0.003399   0.59   0.001575    0.158%
  373    98.4%  37.8  0.00016  0.002662   0.59   0.001578    0.158%
  374    98.4%  38.4  0.00015  0.001825   0.59   0.001579    0.158%
  375    98.4%  38.5  0.00014  0.001615   0.59   0.001579    0.158%
  376    98.4%  38.0  0.00016  0.002161   0.59   0.001581    0.158%
  377    98.4%  38.6  0.00014  0.001478   0.60   0.001580    0.158%
  378    98.4%  38.4  0.00015  0.001731   0.60   0.001581    0.158%
  379    98.4%  38.8  0.00013  0.001309   0.60   0.001580    0.158%
  380    98.4%  37.6  0.00017  0.003020   0.60   0.001584    0.158%
  381    98.4%  38.7  0.00013  0.001350   0.60   0.001583    0.158%
  382    98.4%  38.7  0.00013  0.001366   0.60   0.001583    0.158%
  383    98.4%  38.7  0.00014  0.001389   0.61   0.001582    0.158%
  384    98.4%  38.5  0.00014  0.001567   0.61   0.001582    0.158%
  385    98.4%  38.6  0.00014  0.001396   0.61   0.001582    0.158%
  386    98.4%  38.8  0.00013  0.001223   0.61   0.001581    0.158%
  387    98.4%  39.0  0.00013  0.001093   0.61   0.001579    0.158%
  388    98.4%  38.9  0.00013  0.001135   0.61   0.001578    0.158%
  389    98.4%  38.8  0.00013  0.001237   0.61   0.001577    0.158%
  390    98.4%  38.7  0.00013  0.001354   0.61   0.001577    0.158%
  391    98.4%  38.3  0.00015  0.001999   0.62   0.001578    0.158%
  392    98.4%  38.3  0.00015  0.002074   0.62   0.001579    0.158%
  393    98.4%  37.6  0.00017  0.002706   0.62   0.001582    0.158%
  394    98.4%  37.9  0.00016  0.002513   0.62   0.001584    0.158%
  395    98.4%  38.3  0.00015  0.001988   0.63   0.001585    0.159%
  396    98.4%  38.1  0.00015  0.002166   0.63   0.001587    0.159%
  397    98.4%  38.7  0.00014  0.001499   0.63   0.001587    0.159%
  398    98.4%  38.2  0.00015  0.001917   0.63   0.001587    0.159%
  399    98.4%  38.7  0.00014  0.001501   0.63   0.001587    0.159%
  400    98.4%  38.4  0.00014  0.001714   0.64   0.001588    0.159%
  401    98.4%  38.3  0.00015  0.001876   0.64   0.001588    0.159%
  402    98.4%  38.5  0.00014  0.001576   0.64   0.001588    0.159%
  403    98.4%  38.4  0.00015  0.001686   0.64   0.001588    0.159%
  404    98.4%  38.2  0.00015  0.001689   0.64   0.001589    0.159%
  405    98.4%  38.8  0.00013  0.001243   0.64   0.001588    0.159%
  406    98.4%  38.7  0.00014  0.001434   0.64   0.001587    0.159%
  407    98.4%  38.8  0.00013  0.001413   0.65   0.001587    0.159%
  408    98.4%  38.8  0.00013  0.001377   0.65   0.001587    0.159%
  409    98.4%  38.7  0.00014  0.001384   0.65   0.001586    0.159%
  410    98.4%  38.7  0.00013  0.001394   0.65   0.001586    0.159%
  411    98.4%  38.6  0.00014  0.001575   0.65   0.001586    0.159%
  412    98.4%  38.7  0.00013  0.001438   0.65   0.001585    0.159%
  413    98.4%  38.7  0.00013  0.001475   0.65   0.001585    0.158%
  414    98.4%  38.7  0.00013  0.001465   0.66   0.001585    0.158%
  415    98.4%  38.4  0.00014  0.001799   0.66   0.001585    0.159%
  416    98.3%  38.0  0.00016  0.002504   0.66   0.001587    0.159%
  417    98.3%  37.7  0.00017  0.002723   0.66   0.001590    0.159%
  418    98.3%  37.8  0.00017  0.002587   0.67   0.001592    0.159%
  419    98.3%  38.1  0.00015  0.002228   0.67   0.001594    0.159%
  420    98.3%  38.6  0.00014  0.001560   0.67   0.001594    0.159%
  421    98.3%  38.6  0.00014  0.001543   0.67   0.001594    0.159%
  422    98.3%  38.7  0.00013  0.001405   0.67   0.001593    0.159%
  423    98.3%  38.8  0.00013  0.001268   0.67   0.001593    0.159%
  424    98.3%  38.9  0.00013  0.001223   0.67   0.001592    0.159%
  425    98.3%  38.9  0.00013  0.001203   0.68   0.001591    0.159%
  426    98.3%  38.7  0.00013  0.001413   0.68   0.001590    0.159%
  427    98.3%  38.6  0.00014  0.001471   0.68   0.001590    0.159%
  428    98.1%  38.5  0.00014  0.001641   0.68   0.001590    0.159%
  429    97.8%  38.5  0.00014  0.001548   0.68   0.001590    0.159%
  430    97.0%  38.6  0.00014  0.001571   0.68   0.001590    0.159%
  431    93.4%  38.4  0.00014  0.001773   0.69   0.001593    0.159%
  432    88.8%  38.5  0.00014  0.001683   0.69   0.001598    0.160%
  433    82.6%  38.6  0.00014  0.001512   0.70   0.001605    0.161%
  434    76.5%  38.6  0.00014  0.001511   0.70   0.001613    0.161%
  435    70.3%  38.7  0.00013  0.001380   0.71   0.001627    0.163%
  436    63.8%  38.8  0.00013  0.001346   0.72   0.001644    0.164%
  437    60.2%  38.9  0.00013  0.001223   0.72   0.001653    0.165%
  438    57.3%  38.9  0.00013  0.001191   0.73   0.001663    0.166%
  439    56.1%  38.9  0.00013  0.001261   0.73   0.001665    0.166%
  440    55.1%  38.9  0.00013  0.001274   0.73   0.001667    0.167%
  441    54.2%  38.7  0.00013  0.001329   0.74   0.001670    0.167%
  442    54.0%  38.5  0.00014  0.001514   0.74   0.001670    0.167%
  443    53.8%  38.5  0.00014  0.001471   0.74   0.001670    0.167%
  444    53.6%  38.7  0.00013  0.001347   0.74   0.001669    0.167%
  445    53.3%  38.7  0.00013  0.001426   0.74   0.001669    0.167%
  446    53.1%  38.5  0.00014  0.001564   0.74   0.001669    0.167%
  447    52.7%  38.5  0.00014  0.001672   0.75   0.001669    0.167%
  448    52.0%  38.6  0.00014  0.001515   0.75   0.001670    0.167%
  449    51.2%  38.7  0.00014  0.001451   0.75   0.001671    0.167%
  450    50.0%  38.5  0.00014  0.001672   0.75   0.001672    0.167%
  451    48.2%  38.2  0.00015  0.001943   0.76   0.001677    0.168%
  452    46.3%  38.1  0.00015  0.002029   0.76   0.001683    0.168%
  453    44.1%  38.1  0.00015  0.002024   0.76   0.001688    0.169%
  454    42.0%  38.2  0.00015  0.002146   0.76   0.001684    0.168%
  455    38.4%  38.0  0.00016  0.002315   0.76   0.001678    0.168%
  456    31.9%  38.0  0.00016  0.002251   0.76   0.001676    0.168%
  457    25.1%  38.2  0.00015  0.001983   0.76   0.001674    0.167%
  458    18.4%  38.3  0.00015  0.001800   0.76   0.001656    0.166%
  459    12.1%  38.4  0.00014  0.001666   0.74   0.001618    0.162%
  460     6.2%  38.5  0.00014  0.001504   0.74   0.001617    0.162%
  461     1.6%  38.4  0.00014  0.001657   0.82   0.001772    0.177%
  462     0.4%  38.2  0.00015  0.001965   0.97   0.002093    0.209%
  463     0.3%  38.3  0.00015  0.001908   0.99   0.002149    0.215%
  464     0.3%  38.4  0.00015  0.001815   1.00   0.002151    0.215%
  465     0.2%  38.3  0.00015  0.001872   1.00   0.002150    0.215%
  466     0.2%  38.3  0.00015  0.001913   1.00   0.002145    0.215%
  467     0.2%  38.3  0.00015  0.001851   1.00   0.002149    0.215%
  468     0.2%  38.4  0.00015  0.001862   1.01   0.002160    0.216%
  469     0.2%  38.4  0.00015  0.001824   1.02   0.002166    0.217%
  470     0.1%  38.4  0.00015  0.001810   1.02   0.002174    0.217%
  471     0.1%  38.3  0.00015  0.002023   1.03   0.002181    0.218%
  472     0.1%  38.3  0.00015  0.001975   1.04   0.002198    0.220%
  473     0.1%  38.2  0.00015  0.002067   1.05   0.002224    0.222%
  474     0.1%  38.1  0.00015  0.002143   1.06   0.002241    0.224%
  475     0.1%  38.1  0.00016  0.002168   1.08   0.002265    0.226%
  476     0.1%  38.1  0.00016  0.002217   1.10   0.002303    0.230%
  477     0.1%  38.0  0.00016  0.002348   1.12   0.002344    0.234%
  478     0.0%  38.0  0.00016  0.002412   1.15   0.002416    0.242%
  479     0.0%  37.8  0.00017  0.002728   1.22   0.002542    0.254%
  480     0.0%  37.6  0.00018  0.003153   1.30   0.002701    0.270%
  481     0.0%  37.5  0.00018  0.003250   1.38   0.002868    0.287%
  482     0.0%  37.3  0.00019  0.003684   1.46   0.003030    0.303%
  483     0.0%  37.3  0.00019  0.003711   1.54   0.003181    0.318%
  484     0.0%  37.1  0.00020  0.003941   1.60   0.003310    0.331%
  485     0.0%  37.0  0.00020  0.004293   1.67   0.003435    0.344%
  486     0.0%  36.9  0.00020  0.004592   1.70   0.003495    0.349%
  487     0.0%  37.0  0.00020  0.004316   1.73   0.003556    0.356%
  488     0.0%  36.9  0.00020  0.004687   1.79   0.003675    0.367%
  489     0.0%  36.6  0.00022  0.005141   1.85   0.003788    0.379%
  490     0.0%  36.5  0.00022  0.005394   1.91   0.003890    0.389%
  491     0.0%  36.4  0.00023  0.005683   1.95   0.003965    0.396%
  492     0.0%  36.3  0.00023  0.005481   1.97   0.004010    0.401%
  493     0.0%  36.4  0.00023  0.005529   2.00   0.004048    0.405%
  494     0.0%  36.4  0.00023  0.005741   2.02   0.004091    0.409%
  495     0.0%  36.4  0.00023  0.005491   2.05   0.004143    0.414%
  496     0.0%  36.2  0.00024  0.005927   2.08   0.004189    0.419%
  497     0.0%  36.2  0.00024  0.005935   2.11   0.004241    0.424%
  498     0.0%  36.2  0.00024  0.006005   2.14   0.004302    0.430%
  499     0.0%  36.2  0.00024  0.005837   2.18   0.004373    0.437%
  500     0.0%  36.1  0.00025  0.006064   2.23   0.004452    0.445%
  501     0.0%  35.8  0.00026  0.006352   2.27   0.004521    0.452%
  502     0.0%  35.8  0.00026  0.006213   2.31   0.004601    0.460%
  503     0.0%  35.7  0.00027  0.006601   2.37   0.004717    0.472%
  504     0.0%  35.6  0.00028  0.006883   2.46   0.004880    0.488%
  505     0.0%  35.2  0.00030  0.007489   2.55   0.005042    0.504%
  506     0.0%  35.0  0.00031  0.007752   2.70   0.005331    0.533%
  507     0.0%  34.7  0.00034  0.008659   2.88   0.005684    0.568%
  508     0.0%  34.3  0.00037  0.009158   3.10   0.006110    0.611%
  509     0.0%  33.7  0.00043  0.010316   3.41   0.006691    0.669%
  510     0.0%  33.3  0.00047  0.011139   3.80   0.007452    0.745%
  511     0.0%  32.4  0.00058  0.013311   4.26   0.008346    0.835%
  512     0.0%  32.1  0.00062  0.013704   4.39   0.008566    0.857%
  513     0.0%  32.1  0.00061  0.013309   4.51   0.008785    0.879%
  514     0.0%  32.1  0.00062  0.013284   4.63   0.009009    0.901%
