OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_23656	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1					0	0
FOTU_23657	Fungi_1	Rozellomycota_1							0	0
FOTU_23658									0	0
FOTU_23659									0	0
FOTU_23660	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Hypocreaceae_1	Trichoderma_1		Fungi-ZANF64,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma	89.904	100
FOTU_23661	Fungi_1	Chytridiomycota_1	Lobulomycetes_1	Lobulomycetales_1					0	0
FOTU_23662									0	0
FOTU_23663	Fungi_1								0	0
FOTU_23664									0	0
FOTU_23665	Fungi_1	Chytridiomycota_1							0	0
FOTU_23666									0	0
FOTU_23667	Rhizaria_1	Cercozoa_1							0	0
FOTU_23668	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1			Fungi-CCHF65,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__Sesquicillium	85.096	98
FOTU_23669									0	0
FOTU_23670	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Hericiaceae_1	Dentipellicula_1			0	0
FOTU_23671	Rhizaria_1	Cercozoa_1							0	0
FOTU_23672	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Pyronemataceae_1				0	0
FOTU_23673									0	0
FOTU_23674									0	0
FOTU_23675									0	0
FOTU_23676	Rhizaria_1	Cercozoa_1							0	0
FOTU_23677	Rhizaria_1	Cercozoa_1							0	0
FOTU_23678									0	0
FOTU_23679									0	0
FOTU_23680	Fungi_1	Ascomycota_1	Sordariomycetes_1						0	0
FOTU_23681									0	0
FOTU_23682									0	0
FOTU_23683	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1				Fungi-CCHF45,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_tabarestanensis	89.349	83
FOTU_23684	Fungi_1	Blastocladiomycota_1	Blastocladiomycetes_1	Blastocladiales_1					0	0
FOTU_23685	Fungi_1								0	0
FOTU_23686	Fungi_1								0	0
